Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
Both product scoping and WBS have some room for improvements,Sensemaking 1,80.0,14,10,5.1,10,5,1,78.25,"['product', 'scoping', 'wbs', 'room', 'improvements']",product scoping wbs room improvements,HD,Pass,6,2
You started off really strong with this workbook.,Sensemaking 1,81.0,16,9,4.67,9,5,1,71.82,"['started', 'really', 'strong', 'workbook', '.']",started really strong workbook .,HD,Pass,6,2
Q1 and Q2 were great.,Sensemaking 1,81.0,16,6,2.83,6,4,1,117.16,"['q1', 'q2', 'great', '.']",q1 q2 great .,HD,Pass,6,2
You missed a big trick in combining labour into Q3 onwards which unfortunately cost you in terms of marks.,Sensemaking 1,81.0,16,20,4.4,20,12,1,69.11,"['missed', 'big', 'trick', 'combining', 'labour', 'q3', 'onwards', 'unfortunately', 'cost', 'terms', 'marks', '.']",missed big trick combining labour q3 onwards unfortunately cost terms marks .,HD,Pass,6,2
You have thought well about the labour cost rates and the non labour costs.,Sensemaking 1,81.0,16,15,4.13,15,8,1,108.03,"['thought', 'well', 'labour', 'cost', 'rates', 'non', 'labour', 'costs', '.']",thought well labour cost rates non labour costs .,HD,Pass,6,2
Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end.,Sensemaking 1,81.0,16,26,3.96,26,14,1,71.48,"['report', 'became', 'disjointed', 'hard', 'follow', 'final', 'pages', 'although', 'able', 'find', 'question', '5', 'end', '.']",report became disjointed hard follow final pages although able find question 5 end .,HD,Pass,6,2
You put in a really good effort for this workbook.,Agency 2,49.0,17,11,3.73,11,6,1,78.25,"['put', 'really', 'good', 'effort', 'workbook', '.']",put really good effort workbook .,N,Fail,1,3
The costs you used were well sourced and you applied them to your schedule well.,Sensemaking 1,49.0,17,16,4.12,16,7,1,98.55,"['costs', 'used', 'well', 'sourced', 'applied', 'schedule', 'well', '.']",costs used well sourced applied schedule well .,N,Fail,6,3
You considered different cost types including the risk provisioning.,Sensemaking 1,49.0,17,10,6.0,10,8,1,28.5,"['considered', 'different', 'cost', 'types', 'including', 'risk', 'provisioning', '.']",considered different cost types including risk provisioning .,N,Fail,6,3
Unfortunately you did not answer two of the questions and were penalised heavily for that!,Sensemaking 2,49.0,17,16,4.75,16,7,1,56.25,"['unfortunately', 'answer', 'two', 'questions', 'penalised', 'heavily', '!']",unfortunately answer two questions penalised heavily !,N,Fail,7,3
This work you have done here regarding the report format will serve you well for the final report.,Impact 2,49.0,17,19,4.26,19,9,1,78.59,"['work', 'done', 'regarding', 'report', 'format', 'serve', 'well', 'final', 'report', '.']",work done regarding report format serve well final report .,N,Fail,4,3
"""overall an excellent attempt to develop more reflective (critical thinking)",Sensemaking 2,68.2,18,13,5.23,13,10,1,19.03,"['``', 'overall', 'excellent', 'attempt', 'develop', 'reflective', '(', 'critical', 'thinking', ')']",`` overall excellent attempt develop reflective ( critical thinking ),C,Pass,7,0
Some of the insights provided are important and the learning you have made is excellent.,Sensemaking 1,68.2,18,16,4.62,16,7,1,64.71,"['insights', 'provided', 'important', 'learning', 'made', 'excellent', '.']",insights provided important learning made excellent .,C,Pass,6,0
Better academic writing in using secondary refences to strengthen your discussion will provide higher marks.,Impact 1,68.2,18,16,5.88,16,12,1,47.79,"['better', 'academic', 'writing', 'using', 'secondary', 'refences', 'strengthen', 'discussion', 'provide', 'higher', 'marks', '.']",better academic writing using secondary refences strengthen discussion provide higher marks .,C,Pass,3,0
"Still, this is a significant improvement in refelctive thinking."" ",Sensemaking 2,68.2,18,12,4.83,12,8,1,45.42,"['still', ',', 'significant', 'improvement', 'refelctive', 'thinking', '.', ""''""]","still , significant improvement refelctive thinking . ''",C,Pass,7,0
Feedback as provided in consultation.,Agency 1,68.0,19,6,5.5,6,4,1,15.64,"['feedback', 'provided', 'consultation', '.']",feedback provided consultation .,C,Pass,0,0
Predecessors are missing from the Gantt chart.;,Sensemaking 1,68.0,19,9,4.56,9,6,2,64.37,"['predecessors', 'missing', 'gantt', 'chart', '.', ';']",predecessors missing gantt chart . ;,C,Pass,6,0
"""See attached feedback.",Agency 1,57.0,20,5,4.4,5,5,1,59.97,"['``', 'see', 'attached', 'feedback', '.']",`` see attached feedback .,P,Pass,0,4
"Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" ",Agency 1,57.0,20,34,4.35,34,18,2,56.93,"['please', 'note', 'project', 'teams', 'provided', 'feedback', 'kv', 'consultations', 'held', 'week', 'comm', '19/4', ',', 'provided', 'summary', 'version', 'feedback', 'time', '.', 'kv', ""''""]","please note project teams provided feedback kv consultations held week comm 19/4 , provided summary version feedback time . kv ''",P,Pass,0,4
Paper was moderated by all tutors.,Agency 1,67.49,21,7,4.14,7,4,1,48.47,"['paper', 'moderated', 'tutors', '.']",paper moderated tutors .,C,Pass,0,0
DevOps doesn’t = Agile. Agile is part of the DevOSp cycle as is predictive planning. The design model of EA is important in this issue,Sensemaking 1,55.04,22,29,3.79,29,15,3,63.36,"['devops', '’', '=', 'agile', '.', 'agile', 'part', 'devosp', 'cycle', 'predictive', 'planning', '.', 'design', 'model', 'ea', 'important', 'issue']",devops ’ = agile . agile part devosp cycle predictive planning . design model ea important issue,P,Pass,6,4
There is a lack of understanding on DevOPS and EA and requirements development.,Sensemaking 1,55.04,22,14,4.79,14,7,1,49.82,"['lack', 'understanding', 'devops', 'ea', 'requirements', 'development', '.']",lack understanding devops ea requirements development .,P,Pass,6,4
The assignment is disjointed and poorly developed.,Sensemaking 2,55.04,22,8,5.5,8,5,1,30.53,"['assignment', 'disjointed', 'poorly', 'developed', '.']",assignment disjointed poorly developed .,P,Pass,7,4
;Some of your references are ??? A printer as a reference. YOu lost marks in that section.,Sensemaking 1,55.04,22,22,3.36,22,9,4,83.02,"[';', 'references', '?', '?', '?', 'printer', 'reference', '.', 'lost', 'marks', 'section', '.']",; references ? ? ? printer reference . lost marks section .,P,Pass,6,4
You need to watch how you use citations.,Impact 1,55.04,22,9,3.67,9,5,1,88.74,"['need', 'watch', 'use', 'citations', '.']",need watch use citations .,P,Pass,3,4
YOu are on the limit of having to repeat as there is too much copying of refewrnces. They need to be rewritten.,Sensemaking 1,55.04,22,24,3.75,24,8,2,94.15,"['limit', 'repeat', 'much', 'copying', 'refewrnces', '.', 'need', 'rewritten', '.']",limit repeat much copying refewrnces . need rewritten .,P,Pass,6,4
"""Xinyang, more depth of analysis is required here.;"" ",Sensemaking 2,57.03,24,13,3.62,13,9,2,71.82,"['``', 'xinyang', ',', 'depth', 'analysis', 'required', '.', ';', ""''""]","`` xinyang , depth analysis required . ; ''",P,Pass,7,4
"""This assignment fails to answer the questions to the depth required.",Sensemaking 2,19.25,26,13,4.62,13,8,1,68.77,"['``', 'assignment', 'fails', 'answer', 'questions', 'depth', 'required', '.']",`` assignment fails answer questions depth required .,N,Fail,7,3
"Fails to show any knowledge of DevOps, the place of SDLC in DevOps and EA design concepts as related to the development on conceptual design, non functional and functional requirements.",Sensemaking 1,19.25,26,33,4.73,33,17,1,32.57,"['fails', 'show', 'knowledge', 'devops', ',', 'place', 'sdlc', 'devops', 'ea', 'design', 'concepts', 'related', 'development', 'conceptual', 'design', ',', 'non', 'functional', 'functional', 'requirements', '.']","fails show knowledge devops , place sdlc devops ea design concepts related development conceptual design , non functional functional requirements .",N,Fail,6,3
"LAcks research and approapriate critical thinking."" ",Sensemaking 1,19.25,26,8,5.88,8,7,1,14.63,"['lacks', 'research', 'approapriate', 'critical', 'thinking', '.', ""''""]",lacks research approapriate critical thinking . '',N,Fail,6,3
good submission.,Agency 2,80.38,27,3,5.0,3,3,1,35.61,"['good', 'submission', '.']",good submission .,HD,Pass,1,2
Needed some more indepth discussion and particularly on EA conceptual design as the driver for the functional and non fucntional requiremnts driver.,Sensemaking 1,80.38,27,23,5.52,23,13,1,15.31,"['needed', 'indepth', 'discussion', 'particularly', 'ea', 'conceptual', 'design', 'driver', 'functional', 'non', 'fucntional', 'requiremnts', 'driver', '.']",needed indepth discussion particularly ea conceptual design driver functional non fucntional requiremnts driver .,HD,Pass,6,2
Also DevOps intergrates Agile (SDLC) into a planned environment (predictive PM) and organisations need to define the levels of planning apprioapriately.;,Impact 1,80.38,27,27,4.93,27,19,2,16.32,"['also', 'devops', 'intergrates', 'agile', '(', 'sdlc', ')', 'planned', 'environment', '(', 'predictive', 'pm', ')', 'organisations', 'need', 'define', 'levels', 'planning', 'apprioapriately', '.', ';']",also devops intergrates agile ( sdlc ) planned environment ( predictive pm ) organisations need define levels planning apprioapriately . ;,HD,Pass,3,2
"Please review the attached """"Turnitin"""" download.",Agency 1,58.9,29,11,4.36,11,8,1,56.93,"['please', 'review', 'attached', '``', ""''"", 'turnitin', ""''"", ""''"", 'download', '.']",please review attached `` '' turnitin '' '' download .,P,Pass,0,4
"While the coversheet has contributed significantly to the high score, you will be able to see that there is also some poor practise in developing content from a reference that needs to be addressed. This is a development skill that will need to be addressed BEFORE the next assignment.",Sensemaking 1,58.9,29,52,4.56,52,22,2,55.07,"['coversheet', 'contributed', 'significantly', 'high', 'score', ',', 'able', 'see', 'also', 'poor', 'practise', 'developing', 'content', 'reference', 'needs', 'addressed', '.', 'development', 'skill', 'need', 'addressed', 'next', 'assignment', '.']","coversheet contributed significantly high score , able see also poor practise developing content reference needs addressed . development skill need addressed next assignment .",P,Pass,6,4
";Overall, some good work, however many easy marks were lost in a non exsistant exec summary (the abstract did not provide the required information satisfactorily) the introduction was poor.",Agency 2,58.9,29,35,4.6,35,24,1,25.12,"[';', 'overall', ',', 'good', 'work', ',', 'however', 'many', 'easy', 'marks', 'lost', 'non', 'exsistant', 'exec', 'summary', '(', 'abstract', 'provide', 'required', 'information', 'satisfactorily', ')', 'introduction', 'poor', '.']","; overall , good work , however many easy marks lost non exsistant exec summary ( abstract provide required information satisfactorily ) introduction poor .",P,Pass,1,4
"While it seems your research skills are good and finding definitions and anlysis, htere is a fundamential issue with your DevOps understanding. ;THis created issues with yiour descriptions of how DevOps and EA fit within PM. The key is understanding that EA manages the business requyirements at coneptual level (you did not really discuss this) and these requirements are of a functional and non functional nature. Cybersecurty is part of this. PM manages the planning and delivery of these requirements.;"" ",Sensemaking 1,58.9,29,91,4.71,91,42,6,42.72,"['seems', 'research', 'skills', 'good', 'finding', 'definitions', 'anlysis', ',', 'htere', 'fundamential', 'issue', 'devops', 'understanding', '.', ';', 'created', 'issues', 'yiour', 'descriptions', 'devops', 'ea', 'fit', 'within', 'pm', '.', 'key', 'understanding', 'ea', 'manages', 'business', 'requyirements', 'coneptual', 'level', '(', 'really', 'discuss', ')', 'requirements', 'functional', 'non', 'functional', 'nature', '.', 'cybersecurty', 'part', '.', 'pm', 'manages', 'planning', 'delivery', 'requirements', '.', ';', ""''""]","seems research skills good finding definitions anlysis , htere fundamential issue devops understanding . ; created issues yiour descriptions devops ea fit within pm . key understanding ea manages business requyirements coneptual level ( really discuss ) requirements functional non functional nature . cybersecurty part . pm manages planning delivery requirements . ; ''",P,Pass,6,4
Generally a reasonable effort.,Agency 2,60.9,30,5,5.4,5,4,1,-8.73,"['generally', 'reasonable', 'effort', '.']",generally reasonable effort .,C,Pass,1,0
Starting to develop analytical thinking in writing although writing is still heavily descriptive.,Sensemaking 1,60.9,30,14,6.07,14,10,1,7.52,"['starting', 'develop', 'analytical', 'thinking', 'writing', 'although', 'writing', 'still', 'heavily', 'descriptive', '.']",starting develop analytical thinking writing although writing still heavily descriptive .,C,Pass,6,0
Better use of in-text citations and the secondary references to develop your comments more as informed discussion rather than repenting the writing as descriptive opinion.;,Sensemaking 1,60.9,30,27,5.48,27,17,2,29.18,"['better', 'use', 'in-text', 'citations', 'secondary', 'references', 'develop', 'comments', 'informed', 'discussion', 'rather', 'repenting', 'writing', 'descriptive', 'opinion', '.', ';']",better use in-text citations secondary references develop comments informed discussion rather repenting writing descriptive opinion . ;,C,Pass,6,0
Visibility of WBS needs to be addressed.;,Sensemaking 1,72.0,31,9,3.89,9,6,2,55.91,"['visibility', 'wbs', 'needs', 'addressed', '.', ';']",visibility wbs needs addressed . ;,D,Pass,6,1
"""Referencing is not to APA standards.",Sensemaking 1,53.15,33,8,4.12,8,5,1,56.93,"['``', 'referencing', 'apa', 'standards', '.']",`` referencing apa standards .,P,Pass,6,4
"Overall a failure to fully inderstand the DevOps conepts taught in this course and the role of EA in defining thre requirenments that allow planning, via predicitive PM methodology for delivery of the SDLC (typically Agile) .",Sensemaking 1,53.15,33,40,4.72,40,27,1,34.94,"['overall', 'failure', 'fully', 'inderstand', 'devops', 'conepts', 'taught', 'course', 'role', 'ea', 'defining', 'thre', 'requirenments', 'allow', 'planning', ',', 'via', 'predicitive', 'pm', 'methodology', 'delivery', 'sdlc', '(', 'typically', 'agile', ')', '.']","overall failure fully inderstand devops conepts taught course role ea defining thre requirenments allow planning , via predicitive pm methodology delivery sdlc ( typically agile ) .",P,Pass,6,4
No discussion on EA conceptual design and requirements development of non functional and functional requirements.,Sensemaking 1,53.15,33,16,6.19,16,9,1,13.95,"['discussion', 'ea', 'conceptual', 'design', 'requirements', 'development', 'non', 'functional', 'functional', 'requirements', '.']",discussion ea conceptual design requirements development non functional functional requirements .,P,Pass,6,4
"Cybersecurity is a non functional requirement that needs to be developed prior to Logical and physical design in the SDLC."" ",Impact 1,53.15,33,22,4.77,22,13,1,25.8,"['cybersecurity', 'non', 'functional', 'requirement', 'needs', 'developed', 'prior', 'logical', 'physical', 'design', 'sdlc', '.', ""''""]",cybersecurity non functional requirement needs developed prior logical physical design sdlc . '',P,Pass,3,4
"""Overall, your PM knowledge application is well balanced across all knowledge areas.",Sensemaking 2,75.12,34,15,4.93,15,11,1,50.84,"['``', 'overall', ',', 'pm', 'knowledge', 'application', 'well', 'balanced', 'across', 'knowledge', 'areas', '.']","`` overall , pm knowledge application well balanced across knowledge areas .",D,Pass,7,1
;Your critical skills is at developing level;,Sensemaking 1,75.12,34,9,4.33,9,5,1,38.99,"[';', 'critical', 'skills', 'developing', 'level', ';']",; critical skills developing level ;,D,Pass,6,1
"Overall, reasonable.",Agency 2,75.12,34,4,4.75,4,4,1,-6.7,"['overall', ',', 'reasonable', '.']","overall , reasonable .",D,Pass,1,1
Lost marks from being too brief in anlysis really.,Sensemaking 1,75.12,34,10,4.2,10,6,1,62.34,"['lost', 'marks', 'brief', 'anlysis', 'really', '.']",lost marks brief anlysis really .,D,Pass,6,1
"In essence the report contsined most infromation, however the analysis of application needed further depth.",Sensemaking 2,75.12,34,17,5.47,17,11,1,30.87,"['essence', 'report', 'contsined', 'infromation', ',', 'however', 'analysis', 'application', 'needed', 'depth', '.']","essence report contsined infromation , however analysis application needed depth .",D,Pass,7,1
"Quality of report in presen tation was average and needs work on. ;"" ",Sensemaking 1,75.12,34,15,3.8,15,10,2,50.84,"['quality', 'report', 'presen', 'tation', 'average', 'needs', 'work', '.', ';', ""''""]",quality report presen tation average needs work . ; '',D,Pass,6,1
"""as per the general video comments, particularly with regard to using provided papers and referencing.;"" ",Agency 1,70.0,35,20,4.6,20,15,2,13.95,"['``', 'per', 'general', 'video', 'comments', ',', 'particularly', 'regard', 'using', 'provided', 'papers', 'referencing', '.', ';', ""''""]","`` per general video comments , particularly regard using provided papers referencing . ; ''",D,Pass,0,1
"""Overall, lacks understanding of the concepts as taught in this subject.",Sensemaking 2,38.25,36,14,4.5,14,9,1,68.77,"['``', 'overall', ',', 'lacks', 'understanding', 'concepts', 'taught', 'subject', '.']","`` overall , lacks understanding concepts taught subject .",N,Fail,7,3
"Fails to discuss the role of EA in conceptural design, functional and non fucntional requirements.",Sensemaking 1,38.25,36,17,4.94,17,12,1,47.79,"['fails', 'discuss', 'role', 'ea', 'conceptural', 'design', ',', 'functional', 'non', 'fucntional', 'requirements', '.']","fails discuss role ea conceptural design , functional non fucntional requirements .",N,Fail,6,3
"Has not shown any evidence of understanding the concepts of DevOps, Predictive project management and SDLC hybrid concepts.",Sensemaking 1,38.25,36,20,5.3,20,12,1,44.75,"['shown', 'evidence', 'understanding', 'concepts', 'devops', ',', 'predictive', 'project', 'management', 'sdlc', 'hybrid', 'concepts', '.']","shown evidence understanding concepts devops , predictive project management sdlc hybrid concepts .",N,Fail,6,3
"Turnitin Score (44% excluding the cover sheet) is too high and shows poor acdemic skill."" ",Sensemaking 2,38.25,36,20,3.8,20,16,1,64.71,"['turnitin', 'score', '(', '44', '%', 'excluding', 'cover', 'sheet', ')', 'high', 'shows', 'poor', 'acdemic', 'skill', '.', ""''""]",turnitin score ( 44 % excluding cover sheet ) high shows poor acdemic skill . '',N,Fail,7,3
"""Overall, your PM knowledge application is inconsistent/poor across all knowledge areas.",Sensemaking 2,37.84,37,14,5.64,14,10,1,26.47,"['``', 'overall', ',', 'pm', 'knowledge', 'application', 'inconsistent/poor', 'across', 'knowledge', 'areas', '.']","`` overall , pm knowledge application inconsistent/poor across knowledge areas .",N,Fail,7,3
;Your critical skills need significant improvement,Sensemaking 1,37.84,37,7,6.43,7,6,1,14.63,"[';', 'critical', 'skills', 'need', 'significant', 'improvement']",; critical skills need significant improvement,N,Fail,6,3
This assignment is poor and not to masters level work.,Sensemaking 2,37.84,37,11,4.09,11,6,1,78.25,"['assignment', 'poor', 'masters', 'level', 'work', '.']",assignment poor masters level work .,N,Fail,7,3
You have relied on using past semesters submissions as a guide without realising that the questions have changed.,Sensemaking 2,37.84,37,19,5.05,19,11,1,61.67,"['relied', 'using', 'past', 'semesters', 'submissions', 'guide', 'without', 'realising', 'questions', 'changed', '.']",relied using past semesters submissions guide without realising questions changed .,N,Fail,7,3
You lost a possible 14 % by not answering the SOW section and providing an Exec Summary.,Sensemaking 1,37.84,37,18,4.0,18,11,1,46.78,"['lost', 'possible', '14', '%', 'answering', 'sow', 'section', 'providing', 'exec', 'summary', '.']",lost possible 14 % answering sow section providing exec summary .,N,Fail,6,3
You have used last semesters Costing spreadsheet and failed to recognise ther question has changed.,Sensemaking 1,37.84,37,16,5.31,16,11,1,81.63,"['used', 'last', 'semesters', 'costing', 'spreadsheet', 'failed', 'recognise', 'ther', 'question', 'changed', '.']",used last semesters costing spreadsheet failed recognise ther question changed .,N,Fail,6,3
Risk section is poor and lacks detail.,Sensemaking 1,37.84,37,8,4.0,8,6,1,89.75,"['risk', 'section', 'poor', 'lacks', 'detail', '.']",risk section poor lacks detail .,N,Fail,6,3
GAntt chart is incomplete.,Sensemaking 1,37.84,37,5,4.6,5,4,1,75.88,"['gantt', 'chart', 'incomplete', '.']",gantt chart incomplete .,N,Fail,6,3
"In general, this report lacks the level of definitiona nd description required from a masters students.",Sensemaking 2,37.84,37,18,4.89,18,12,1,38.32,"['general', ',', 'report', 'lacks', 'level', 'definitiona', 'nd', 'description', 'required', 'masters', 'students', '.']","general , report lacks level definitiona nd description required masters students .",N,Fail,7,3
There is very little description and nearly no anlaysis.,Sensemaking 1,37.84,37,10,4.8,10,5,1,45.42,"['little', 'description', 'nearly', 'anlaysis', '.']",little description nearly anlaysis .,N,Fail,6,3
You are expected to take the information and discuss how the application of the techniques occurs.,Impact 1,37.84,37,17,4.88,17,8,1,46.78,"['expected', 'take', 'information', 'discuss', 'application', 'techniques', 'occurs', '.']",expected take information discuss application techniques occurs .,N,Fail,3,3
";Due to high Turnitin Score analysis, shows copying form sources and other students work. 15 % deduction applied."" ",Sensemaking 2,37.84,37,23,4.26,23,19,2,54.22,"[';', 'due', 'high', 'turnitin', 'score', 'analysis', ',', 'shows', 'copying', 'form', 'sources', 'students', 'work', '.', '15', '%', 'deduction', 'applied', '.', ""''""]","; due high turnitin score analysis , shows copying form sources students work . 15 % deduction applied . ''",N,Fail,7,3
"""Turnitin similarity is high, Paraphrase your answers"" ",Sensemaking 2,65.0,38,10,5.0,10,8,1,22.07,"['``', 'turnitin', 'similarity', 'high', ',', 'paraphrase', 'answers', ""''""]","`` turnitin similarity high , paraphrase answers ''",C,Pass,7,0
Q 10 is poorly answered. Lacks understanding.,Sensemaking 1,80.0,39,9,4.33,9,7,2,55.91,"['q', '10', 'poorly', 'answered', '.', 'lacks', 'understanding', '.']",q 10 poorly answered . lacks understanding .,HD,Pass,6,2
Otherwise generally good,Agency 2,80.0,39,3,7.33,3,3,1,-24.64,"['otherwise', 'generally', 'good']",otherwise generally good,HD,Pass,1,2
