,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
25,Both product scoping and WBS have some room for improvements 80,Both product scoping and WBS have some room for improvements,Sensemaking 1,80,14,Sensemaking1,Sensemaking1,1,Sensemaking,1,10
26,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,15,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
31,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end. 81,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end.,Sensemaking 1,81,16,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,25
36,This work you have done here regarding the report format will serve you well for the final report. 49,This work you have done here regarding the report format will serve you well for the final report.,Impact 2,49,17,Agency2 Sensemaking1 Sensemaking1 Sensemaking2 Impact2,Agency2 Sensemaking1 Sensemaking2 Impact2,4,Agency Sensemaking Impact,3,18
40,"Still, this is a significant improvement in refelctive thinking."" 68.2","Still, this is a significant improvement in refelctive thinking."" ",Sensemaking 2,68.2,18,Sensemaking2 Sensemaking1 Impact1 Sensemaking2,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,9
42,Predecessors are missing from the Gantt chart.; 68,Predecessors are missing from the Gantt chart.;,Sensemaking 1,68,19,Agency1 Sensemaking1,Agency1 Sensemaking1,2,Agency Sensemaking,2,7
44,"Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" 57","Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" ",Agency 1,57,20,Agency1 Agency1,Agency1,1,Agency,1,31
45,Paper was moderated by all tutors. 67.49,Paper was moderated by all tutors.,Agency 1,67.49,21,Agency1,Agency1,1,Agency,1,6
51,YOu are on the limit of having to repeat as there is too much copying of refewrnces. They need to be rewritten. 55.04,YOu are on the limit of having to repeat as there is too much copying of refewrnces. They need to be rewritten.,Sensemaking 1&Impact 1,55.04,22,Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,22
53,Wbs needs work as discussed in tutorial. 75,Wbs needs work as discussed in tutorial.,Sensemaking 1,75,23,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,7
54,"""Xinyang, more depth of analysis is required here.;"" 57.03","""Xinyang, more depth of analysis is required here.;"" ",Sensemaking 2,57.03,24,Sensemaking2,Sensemaking2,1,Sensemaking,1,8
55,Feedback as provided in consultation.; 65,Feedback as provided in consultation.;,Agency 1,65,25,Agency1,Agency1,1,Agency,1,5
58,"LAcks research and approapriate critical thinking."" 19.25","LAcks research and approapriate critical thinking."" ",Sensemaking 1,19.25,26,Sensemaking2 Sensemaking1 Sensemaking1,Sensemaking2 Sensemaking1,2,Sensemaking,1,6
61,Also DevOps intergrates Agile (SDLC) into a planned environment (predictive PM) and organisations need to define the levels of planning apprioapriately.; 80.38,Also DevOps intergrates Agile (SDLC) into a planned environment (predictive PM) and organisations need to define the levels of planning apprioapriately.;,Impact 1,80.38,27,Agency2 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,21
62,Feedback as provided in consultation.; 65,Feedback as provided in consultation.;,Agency 1,65,28,Agency1,Agency1,1,Agency,1,5
66,"While it seems your research skills are good and finding definitions and anlysis, htere is a fundamential issue with your DevOps understanding. ;THis created issues with yiour descriptions of how DevOps and EA fit within PM. The key is understanding that EA manages the business requyirements at coneptual level (you did not really discuss this) and these requirements are of a functional and non functional nature. Cybersecurty is part of this. PM manages the planning and delivery of these requirements.;"" 58.9","While it seems your research skills are good and finding definitions and anlysis, htere is a fundamential issue with your DevOps understanding. ;THis created issues with yiour descriptions of how DevOps and EA fit within PM. The key is understanding that EA manages the business requyirements at coneptual level (you did not really discuss this) and these requirements are of a functional and non functional nature. Cybersecurty is part of this. PM manages the planning and delivery of these requirements.;"" ",Sensemaking 1&Impact 1,58.9,29,Agency1 Sensemaking1 Impact2 Agency2 Sensemaking1 Sensemaking1 Impact1,Agency1 Sensemaking1 Impact2 Agency2 Impact1,5,Agency Sensemaking Impact,3,80
69,Better use of in-text citations and the secondary references to develop your comments more as informed discussion rather than repenting the writing as descriptive opinion.; 60.9,Better use of in-text citations and the secondary references to develop your comments more as informed discussion rather than repenting the writing as descriptive opinion.;,Sensemaking 1,60.9,30,Agency2 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,25
71,Visibility of WBS needs to be addressed.; 72,Visibility of WBS needs to be addressed.;,Sensemaking 1,72,31,Agency1 Sensemaking1,Agency1 Sensemaking1,2,Agency Sensemaking,2,7
72,Both product scope and WBS has room for improvement 75,Both product scope and WBS has room for improvement,Sensemaking 1,75,32,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
76,"Cybersecurity is a non functional requirement that needs to be developed prior to Logical and physical design in the SDLC."" 53.15","Cybersecurity is a non functional requirement that needs to be developed prior to Logical and physical design in the SDLC."" ",Impact 1,53.15,33,Sensemaking1 Sensemaking1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,20
82,"Quality of report in presen tation was average and needs work on. ;"" 75.12","Quality of report in presen tation was average and needs work on. ;"" ",Sensemaking 1,75.12,34,Sensemaking2 Sensemaking1 Agency2 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1,Sensemaking2 Sensemaking1 Agency2,3,Sensemaking Agency,2,13
83,"""as per the general video comments, particularly with regard to using provided papers and referencing.;"" 70","""as per the general video comments, particularly with regard to using provided papers and referencing.;"" ",Agency 1,70,35,Agency1,Agency1,1,Agency,1,15
87,"Turnitin Score (44% excluding the cover sheet) is too high and shows poor acdemic skill."" 38.25","Turnitin Score (44% excluding the cover sheet) is too high and shows poor acdemic skill."" ",Sensemaking 2,38.25,36,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking2 Sensemaking1,2,Sensemaking,1,15
99,";Due to high Turnitin Score analysis, shows copying form sources and other students work. 15 % deduction applied."" 37.84",";Due to high Turnitin Score analysis, shows copying form sources and other students work. 15 % deduction applied."" ",Sensemaking 2,37.84,37,Sensemaking2 Sensemaking1 Sensemaking2 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking2,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,18
100,"""Turnitin similarity is high, Paraphrase your answers"" 65","""Turnitin similarity is high, Paraphrase your answers"" ",Sensemaking 2&Impact 2,65,38,Sensemaking2 Impact2,Sensemaking2 Impact2,2,Sensemaking Impact,2,7
102,Otherwise generally good,Otherwise generally good,Agency 2,80,39,Sensemaking1 Agency2,Sensemaking1 Agency2,2,Sensemaking Agency,2,3
103,Moodle corrupted the word doc. 80,Moodle corrupted the word doc.,Sensemaking 2,80,40,Sensemaking2,Sensemaking2,1,Sensemaking,1,5
105,"Please note that all project teams were provided feedback from KV in consultations, and provided a copy of their feedback at that time. KV"" 63","Please note that all project teams were provided feedback from KV in consultations, and provided a copy of their feedback at that time. KV"" ",Agency 1,63,41,Agency1 Agency1,Agency1,1,Agency,1,24
106,Feedback as provided in consultation.; 70,Feedback as provided in consultation.;,Agency 1,70,42,Agency1,Agency1,1,Agency,1,5
108,"Best WishesNergiz."" 70.06","Best WishesNergiz."" ",Agency 3,70.06,43,Agency2 Agency1 Agency3,Agency2 Agency1 Agency3,3,Agency,1,2
110,"APA standards need to be applied in referencing"" 50","APA standards need to be applied in referencing"" ",Impact 1,50,44,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,8
111,"""overall, lacks depth and did not answer all questions fully.;"" 54.8","""overall, lacks depth and did not answer all questions fully.;"" ",Sensemaking 1&Sensemaking 2,54.8,45,Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,10
114,"Add figure/table numbers and describe each figure and table; and for maximum marks, You need to discuss (not just describe) elements about each question. "" 64.75","Add figure/table numbers and describe each figure and table; and for maximum marks, You need to discuss (not just describe) elements about each question. "" ",Impact 1&Impact 2,64.75,46,Sensemaking2 Impact1 Impact1 Impact2,Sensemaking2 Impact1 Impact2,3,Sensemaking Impact,2,25
118,"iii) it was also decided to share equally the marks for reference and language proficiency. KV"" 54","iii) it was also decided to share equally the marks for reference and language proficiency. KV"" ",Agency 1,54,47,Agency1 Agency1 Agency1 Agency1,Agency1,1,Agency,1,16
120,"Good work.;"" 70","Good work.;"" ",Agency 2,70,48,Sensemaking1 Impact3 Agency2,Sensemaking1 Impact3 Agency2,3,Sensemaking Impact Agency,3,2
127,"Finally, just dumping your gannt chart with no explanation was not a good move."" 56.39","Finally, just dumping your gannt chart with no explanation was not a good move."" ",Sensemaking 1,56.39,49,Sensemaking1 Sensemaking1 Impact3 Sensemaking1 Impact1 Sensemaking1 Sensemaking1,Sensemaking1 Impact3 Impact1,3,Sensemaking Impact,2,14
129,Otherwise generally good,Otherwise generally good,Agency 2,80,50,Sensemaking1 Agency2,Sensemaking1 Agency2,2,Sensemaking Agency,2,3
130,Moodle corrupted the word doc. Please use Pdfs 80,Moodle corrupted the word doc. Please use Pdfs,Sensemaking 2,80,51,Sensemaking2,Sensemaking2,1,Sensemaking,1,8
131,As per attached. 60.4,As per attached.,Agency 1,60.4,52,Agency1,Agency1,1,Agency,1,3
133,"risk register good, lacks detailed analysis and description"" 70","risk register good, lacks detailed analysis and description"" ",Sensemaking 1,70,53,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,8
135,"Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" 50","Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" ",Agency 1,50,54,Agency1 Agency1,Agency1,1,Agency,1,31
136,Refer to attached. 51,Refer to attached.,Agency 1,51,55,Agency1,Agency1,1,Agency,1,3
137,Feedback as provided in consultation. 65,Feedback as provided in consultation.,Agency 1,65,56,Agency1,Agency1,1,Agency,1,5
139,Wbs needs work as discussed in tutorial.; 75,Wbs needs work as discussed in tutorial.;,Sensemaking 1,75,57,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,7
141,Predecessors are missing from the Gantt chart.; 68,Predecessors are missing from the Gantt chart.;,Sensemaking 1,68,58,Agency1 Sensemaking1,Agency1 Sensemaking1,2,Agency Sensemaking,2,7
146,"In essence the report contsined most infromation, however the analysis of application needed further depth."" 61.94","In essence the report contsined most infromation, however the analysis of application needed further depth."" ",Sensemaking 2&Sensemaking 1,61.94,59,Sensemaking2 Sensemaking1 Agency2 Sensemaking1 Sensemaking2 Sensemaking1,Sensemaking2 Sensemaking1 Agency2,3,Sensemaking Agency,2,15
147,Both product scope and WBS has room for improvement 75,Both product scope and WBS has room for improvement,Sensemaking 1,75,60,Sensemaking1,Sensemaking1,1,Sensemaking,1,9
148,"""Jiayu, a good attempt, you would need to show more depth and see how you can identify key and relevant concepts in this area.;"" 64.1","""Jiayu, a good attempt, you would need to show more depth and see how you can identify key and relevant concepts in this area.;"" ",Agency 2&Impact 1,64.1,61,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,24
151,Good luck. 0,Good luck.,Agency 3,0,62,Sensemaking2 Impact2 Agency3,Sensemaking2 Impact2 Agency3,3,Sensemaking Impact Agency,3,2
155,"Cheers,Lee"" 65","Cheers,Lee"" ",Agency 3,65,63,Agency1 Impact2 Agency2 Agency3,Agency1 Impact2 Agency2 Agency3,4,Agency Impact,2,1
160,Keep in touch. :) 65,Keep in touch. :),Agency 3,65,64,Sensemaking2 Agency3 Agency3 Agency3 Agency3,Sensemaking2 Agency3,2,Sensemaking Agency,2,4
162,Thanks for the diary.-VT 65,Thanks for the diary.-VT,Agency 3,65,65,Sensemaking2 Agency3,Sensemaking2 Agency3,2,Sensemaking Agency,2,4
163,Good luck and best wishes for the future it has been a pleasure working with you.P.B. 70,Good luck and best wishes for the future it has been a pleasure working with you.P.B.,Agency 3,70,66,Agency3,Agency3,1,Agency,1,16
164,"""You have written more in line with FIT5122, there is less reflection more of a summary of things that you did.;"" 55","""You have written more in line with FIT5122, there is less reflection more of a summary of things that you did.;"" ",Sensemaking 2,55,67,Sensemaking2,Sensemaking2,1,Sensemaking,1,21
168,Just work on the sentence structure a little.-VT 55,Just work on the sentence structure a little.-VT,Sensemaking 1,55,68,Sensemaking2 Agency3 Sensemaking2 Sensemaking1,Sensemaking2 Agency3 Sensemaking1,3,Sensemaking Agency,2,8
171,All the best! 70,All the best!,Agency 3,70,69,Agency2 Agency2 Agency3,Agency2 Agency3,2,Agency,1,3
177,Good overall.; 60,Good overall.;,Agency 2,60,70,Impact1 Impact1 Impact1 Impact1 Impact1 Agency2,Impact1 Agency2,2,Impact Agency,2,2
179,"Instead try to reflect more on your learnings from these activities, team dynamics, your action plan etc.;"" 50","Instead try to reflect more on your learnings from these activities, team dynamics, your action plan etc.;"" ",Impact 1,50,71,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,17
183,"For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" 70","For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" ",Impact 1,70,72,Sensemaking1 Impact1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,42
187,"Just work on the sentence structure a little.-VT"" 70","Just work on the sentence structure a little.-VT"" ",Impact 1,70,73,Agency3 Sensemaking2 Sensemaking1 Impact1,Agency3 Sensemaking2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,8
188,Thanks for the diary.-VT 65,Thanks for the diary.-VT,Agency 3,65,74,Agency3,Agency3,1,Agency,1,4
197,"I would recommend googling """"Gibbs cycle of reflection"""" and try to apply that to your diaries. "" 65","I would recommend googling """"Gibbs cycle of reflection"""" and try to apply that to your diaries. "" ",Agency 1&Impact 1,65,75,Agency3 Sensemaking2 Impact1 Impact1 Impact1 Impact1 Impact1 Impact2 Agency1 Impact1,Agency3 Sensemaking2 Impact1 Impact2 Agency1,5,Agency Sensemaking Impact,3,17
205,"Hope this helps."" 45","Hope this helps."" ",Agency 3,45,76,Agency2 Sensemaking1 Agency1 Agency3 Sensemaking1 Impact1 Sensemaking1 Agency3,Agency2 Sensemaking1 Agency1 Agency3 Impact1,5,Agency Sensemaking Impact,3,3
207,Take care of yourself and your health first. 65,Take care of yourself and your health first.,Agency 3,65,77,Agency3 Agency3,Agency3,1,Agency,1,8
210,";Thanks,Lee"" 100",";Thanks,Lee"" ",Agency 3,100,78,Agency3 Agency3 Agency3,Agency3,1,Agency,1,1
212,"Instead of describing the steps you took for a particular process throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","Instead of describing the steps you took for a particular process throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,79,Agency3 Impact1,Agency3 Impact1,2,Agency Impact,2,40
214,Excellent DIARY Gayathri.; 90,Excellent DIARY Gayathri.;,Agency 2,90,80,Sensemaking2 Agency2,Sensemaking2 Agency2,2,Sensemaking Agency,2,3
215,No Submission 0,No Submission,Sensemaking 2,0,81,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
217,t is not really good to not to take feedbacks without valid reasonings. And the mentor won't be happy with this if it is not taken properly; 65,t is not really good to not to take feedbacks without valid reasonings. And the mentor won't be happy with this if it is not taken properly;,Impact 1,65,82,Agency1 Impact1,Agency1 Impact1,2,Agency Impact,2,27
218,"""Thanks for the diary.#Agency 3*[@]Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","""Thanks for the diary.#Agency 3*[@]Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,83,Impact1,Impact1,1,Impact,1,44
221,"Thanks and regrads,Lee"" 65","Thanks and regrads,Lee"" ",Agency 3,65,84,Agency2 Impact2 Impact2 Agency3,Agency2 Impact2 Agency3,3,Agency Impact,2,3
222,good; work; 85,good; work;,Agency 2,85,85,Agency2,Agency2,1,Agency,1,2
226,"Thanks and regards,Lee"" 85","Thanks and regards,Lee"" ",Agency 3,85,86,Agency2 Impact2 Agency2 Impact2 Agency3 Agency3,Agency2 Impact2 Agency3,3,Agency Impact,2,3
230,Please let us know the more detailed info if you are comfortable to share that.. 70,Please let us know the more detailed info if you are comfortable to share that..,Impact 3,70,87,Sensemaking2 Impact2 Agency3 Impact3,Sensemaking2 Impact2 Agency3 Impact3,4,Sensemaking Impact Agency,3,15
237,"Please consider to reflect on your learnings and what challenges you can forsee and what you action or;how will you contribute to the team rather than listing on the activities you did."" 65","Please consider to reflect on your learnings and what challenges you can forsee and what you action or;how will you contribute to the team rather than listing on the activities you did."" ",Impact 1,65,88,Agency3 Agency2 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1,Agency3 Agency2 Impact1,3,Agency Impact,2,32
242,"For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" 55","For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" ",Impact 1,55,89,Sensemaking2 Impact1 Impact1 Impact1 Impact1,Sensemaking2 Impact1,2,Sensemaking Impact,2,42
243,Late submission 0,Late submission,Sensemaking 2,0,90,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
245,";Please avoid using strong words too"" 75",";Please avoid using strong words too"" ",Impact 1,75,91,Impact1 Impact1,Impact1,1,Impact,1,6
246,"""Good Luck and best wishes from Mansi, me, and the whole teaching team!"" 70","""Good Luck and best wishes from Mansi, me, and the whole teaching team!"" ",Agency 3,70,92,Agency3,Agency3,1,Agency,1,13
248,just try to make it more concise.-VT 70,just try to make it more concise.-VT,Impact 1,70,93,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,7
249,Late Submission. 0,Late Submission.,Sensemaking 2,0,94,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
252,"Thanks,Lee"" 100","Thanks,Lee"" ",Agency 3,100,95,Agency3 Agency3 Agency3,Agency3,1,Agency,1,1
254,"Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","Instead of describing the steps you took for finding the data throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,96,Agency3 Impact1,Agency3 Impact1,2,Agency Impact,2,40
255,"""Hi Yujie,Please submit your next diary on time cause we are not able to give mark for the late submission."" 0","""Hi Yujie,Please submit your next diary on time cause we are not able to give mark for the late submission."" ",Impact 2,0,97,Impact2,Impact2,1,Impact,1,20
256,Late Submission 0,Late Submission,Sensemaking 2,0,98,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
260,"Just a suggestion to improve - Maybe also spend some time discussing the internal functioning of the group and your experience with it as you go. For example, you mentioned the possibility of a language barrier issue and the steps you would take as a team as time progresses. Was there any significant contribution from your end at the time that you thought would should be applied during the meeting and how did everyone react to that? Was there a previous experience to a similar situation that you may have faced and the steps you took personally to help overcome that challenge?","Just a suggestion to improve - Maybe also spend some time discussing the internal functioning of the group and your experience with it as you go. For example, you mentioned the possibility of a language barrier issue and the steps you would take as a team as time progresses. Was there any significant contribution from your end at the time that you thought would should be applied during the meeting and how did everyone react to that? Was there a previous experience to a similar situation that you may have faced and the steps you took personally to help overcome that challenge?",Impact 1,85,99,Sensemaking2 Agency3 Agency2 Impact1,Sensemaking2 Agency3 Agency2 Impact1,4,Sensemaking Agency Impact,3,102
261,";Hope this helps."" 85",";Hope this helps."" ",Agency 3,85,100,Agency3,Agency3,1,Agency,1,3
263,"Do not think about speed of learning or your degree, but think about how much you can help your teammate.;"" 80","Do not think about speed of learning or your degree, but think about how much you can help your teammate.;"" ",Impact 3,80,101,Impact3 Agency3 Impact3,Impact3 Agency3,2,Impact Agency,2,20
264,"""Hi Jianxing, You have mentioned the team has to handle the shortcoming but how ? that is what which will be your action plan. "" 60","""Hi Jianxing, You have mentioned the team has to handle the shortcoming but how ? that is what which will be your action plan. "" ",Sensemaking 1&Impact 1,60,102,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,25
268,Keep in touch. 85,Keep in touch.,Agency 3,85,103,Agency3 Agency3 Agency3 Agency3,Agency3,1,Agency,1,3
269,No Submission 0,No Submission,Sensemaking 2,0,104,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
270,Please let us know if you cannot make a decision so that we can give recommendations.; 85,Please let us know if you cannot make a decision so that we can give recommendations.;,Agency 1,85,105,Agency1,Agency1,1,Agency,1,16
272,"Instead of describing the steps that you took throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" 55","Instead of describing the steps that you took throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT"" ",Impact 1,55,106,Agency3 Impact1,Agency3 Impact1,2,Agency Impact,2,37
274,Just try to make action plans for the things you mentioned in the reflection along with other plans.-VT 75,Just try to make action plans for the things you mentioned in the reflection along with other plans.-VT,Impact 1,75,107,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,18
278,";Thanks and all the best,Lee;"" 90",";Thanks and all the best,Lee;"" ",Agency 3,90,108,Sensemaking1 Agency2 Impact2 Agency3,Sensemaking1 Agency2 Impact2 Agency3,4,Sensemaking Agency Impact,3,5
280,"Good job on the reflection and action plan, just try to make it concise.-VT"" 80","Good job on the reflection and action plan, just try to make it concise.-VT"" ",Sensemaking 2&Impact 1,80,109,Agency3 Sensemaking2 Impact1,Agency3 Sensemaking2 Impact1,3,Agency Sensemaking Impact,3,14
281,Good luck and best wishes for the future it has been a pleasure working with you.P.B. 85,Good luck and best wishes for the future it has been a pleasure working with you.P.B.,Agency 3,85,110,Agency3,Agency3,1,Agency,1,16
282,"""Hi Qiuli,Please submit your next diary on time cause we are not able to give marks for the late submission."" 0","""Hi Qiuli,Please submit your next diary on time cause we are not able to give marks for the late submission."" ",Impact 2,0,111,Impact2,Impact2,1,Impact,1,20
284,Keep it up.All the best! 70,Keep it up.All the best!,Agency 3,70,112,Agency2 Agency3,Agency2 Agency3,2,Agency,1,5
285,"""The action plan you mentioned is about the project, not the things you reflected on about the team working together."" 70","""The action plan you mentioned is about the project, not the things you reflected on about the team working together."" ",Sensemaking 1,70,113,Sensemaking1,Sensemaking1,1,Sensemaking,1,20
286,Good work! 80,Good work!,Agency 2,80,114,Agency2,Agency2,1,Agency,1,2
298,"I really enjoyed teaching you.Peter H"" 70","I really enjoyed teaching you.Peter H"" ",Agency 3,70,115,Agency2 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency3 Agency3,Agency2 Sensemaking2 Sensemaking1 Impact1 Agency3,5,Agency Sensemaking Impact,3,6
304,"Instead of saying ‘there existproblems or another problem is about….’, you could say ‘while ??? is good itcould be further improved by …‘ This way, you avoid judgement."" 70","Instead of saying ‘there existproblems or another problem is about….’, you could say ‘while ??? is good itcould be further improved by …‘ This way, you avoid judgement."" ",Impact 1,70,116,Sensemaking1 Sensemaking1 Sensemaking1 Impact2 Sensemaking1 Impact1,Sensemaking1 Impact2 Impact1,3,Sensemaking Impact,2,28
307,"Strategy of re-inforcing your points very effective."" 73","Strategy of re-inforcing your points very effective."" ",Sensemaking 1,73,117,Agency1 Sensemaking1 Sensemaking1,Agency1 Sensemaking1,2,Agency Sensemaking,2,7
319,"Recommendations were succinct, useful and delivered in a way that the reader could readily implement."" 63","Recommendations were succinct, useful and delivered in a way that the reader could readily implement."" ",Sensemaking 1,63,118,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,15
328,";Needto give an introduction to the ethical design framework. Other students mightnot know what it is"" 76",";Needto give an introduction to the ethical design framework. Other students mightnot know what it is"" ",Impact 1,76,119,Sensemaking2 Sensemaking2 Agency1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact1,Sensemaking2 Agency1 Sensemaking1 Impact1,4,Sensemaking Agency Impact,3,16
