"",SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
10,"YOu missed several very vital points"" 54.8","YOu missed several very vital points""",Sensemaking 1,54.8,5,1,6,10.19,99,1,20.23,6,16.67,83.33,83.33,50,16.67,16.67,0,0,16.67,0,0,0,16.67,0,0,0,0,16.67,0,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0
11,"""PMBOK (PMI 2013) is a super-ceded reference and is withdraw. You cannot use this as a refernce unless speaking in historical terms.","""PMBOK (PMI 2013) is a super-ceded reference and is withdraw. You cannot use this as a refernce unless speaking in historical terms.",Sensemaking 1&Impact 1,50.28,6,1,22,32.02,17.46,20.79,20.23,11,27.27,72.73,63.64,50,9.09,4.55,0,0,4.55,0,0,4.55,13.64,9.09,4.55,9.09,13.64,0,13.64,4.55,22.73,4.55,0,0,0,0,0,13.64,0,13.64,0,4.55,4.55,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,13.64,9.09,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,4.55,4.55,13.64,0,0,0,0,0,0,27.27,9.09,0,0,0,0,18.18,0
12,"You have reduced DevOps to the Waterfall vs Agile argument, which is wrong. Devops is the process of EA conceptual design developing requirements that can be planned (using predictive PM methodology) and the delivery is via a SDLC (typically Agile). It is in this hybrid process that EA and cybersecurity are planned for delivery.","You have reduced DevOps to the Waterfall vs Agile argument, which is wrong. Devops is the process of EA conceptual design developing requirements that can be planned (using predictive PM methodology) and the delivery is via a SDLC (typically Agile). It is in this hybrid process that EA and cybersecurity are planned for delivery.",Sensemaking 1&Impact 1,50.28,6,1,54,60.76,40.06,5.41,1,18,29.63,70.37,53.7,50,11.11,1.85,0,0,1.85,0,0,9.26,12.96,7.41,0,11.11,14.81,1.85,3.7,0,16.67,1.85,0,3.7,0,3.7,0,16.67,0,16.67,5.56,1.85,1.85,1.85,0,3.7,0,3.7,0,3.7,1.85,0,1.85,0,1.85,0,0,5.56,3.7,0,0,1.85,1.85,1.85,1.85,0,0,0,0,1.85,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,3.7,0,0,0,0,0,0,1.85,1.85,0,0,1.85,0,0,0,0,3.7,11.11,5.56,0,0,0,0,0,14.81,5.56,1.85,0,0,0,7.41,0
13,"If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts."" 50.28","If you do not understand EA design priciples as taught in this subject, you cannot describe leading edge DevOps concepts.""",Impact 1,50.28,6,1,20,8.11,15.75,98.38,20.23,20,30,80,55,45,15,10,0,0,10,0,0,5,5,0,0,10,10,0,10,10,20,0,0,5,0,5,5,25,0,25,10,0,5,5,0,15,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,5,10,0,0,0,0,0,0,0,0,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,5,5,0,0,0,0,0,0,15,5,5,0,0,0,5,0
14,good in general.,good in general.,Agency 2,75,7,1,3,99,40.06,99,99,3,33.33,100,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0
15,Wbs needs work as discussed in tutorial. 75,Wbs needs work as discussed in tutorial.,Sensemaking 1,75,7,1,7,99,40.06,1,20.23,7,28.57,85.71,57.14,28.57,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,14.29,0,28.57,0,0,14.29,0,14.29,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,28.57,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0
16,Feedback as provided in consultation.; 70,Feedback as provided in consultation.;,Agency 1,70,8,1,5,99,40.06,99,20.23,5,60,100,40,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,40,20,0,0,0,0,20,0
17,Both product scope and WBS have room for improvement 75,Both product scope and WBS have room for improvement,Sensemaking 1,75,9,1,9,66.04,40.06,10.18,99,9,22.22,77.78,44.44,44.44,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,11.11,0,11.11,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Team 1 requested to re-do the workbook 2 to better their original fail mark.,Team 1 requested to re-do the workbook 2 to better their original fail mark.,Impact 2,50,10,1,14,99,97.11,1,98.65,14,21.43,71.43,35.71,28.57,7.14,7.14,0,0,0,0,7.14,0,14.29,7.14,14.29,14.29,0,0,0,0,0,7.14,0,28.57,7.14,14.29,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,21.43,14.29,7.14,7.14,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,0,7.14,0
19,The team submitted the workbook 31 days after the submission date. KV 50,The team submitted the workbook 31 days after the submission date. KV,Sensemaking 2,50,10,1,12,99,84.23,89.39,20.23,6,25,75,50,33.33,0,0,0,0,0,0,0,0,25,25,8.33,8.33,0,0,8.33,0,8.33,0,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0
20,"""Good effort all up, as I mentioned in consultation - Dont allocate 15% to risk mitigation, you need to calculate this.","""Good effort all up, as I mentioned in consultation - Dont allocate 15% to risk mitigation, you need to calculate this.",Agency 2&Impact 1,80,11,1,20,80.96,40.06,7.03,90.5,20,25,90,60,50,15,10,5,0,5,0,0,5,10,0,5,25,5,0,5,5,10,0,10,5,0,5,0,10,5,5,0,0,5,0,0,0,0,5,5,0,5,5,0,0,0,0,0,15,10,0,0,0,0,10,5,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,10,10,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,30,5,10,0,0,0,15,0
21,"Very good effort with this workbook."" 80","Very good effort with this workbook.""",Agency 2,80,11,1,6,49.68,40.06,1,99,6,16.67,83.33,50,50,16.67,0,0,0,0,0,0,16.67,16.67,0,0,16.67,0,16.67,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0
22,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,12,1,8,98.55,40.06,1,20.23,8,25,100,62.5,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12.5,0,25,0,12.5,12.5,0,12.5,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,50,0,0,37.5,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0
23,"""Hui Pan, a reasonable attempt - you need t0 show more depth and analysis in your writing.","""Hui Pan, a reasonable attempt - you need t0 show more depth and analysis in your writing.",Agency 2&Impact 1,63.35,13,1,16,78.28,99,54.55,20.23,16,25,81.25,62.5,37.5,12.5,12.5,0,0,12.5,0,0,0,18.75,6.25,6.25,6.25,0,0,6.25,0,12.5,12.5,12.5,0,0,0,0,18.75,0,18.75,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,0,0,0,6.25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,18.75,0,0,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,25,6.25,6.25,0,0,0,12.5,0
24,"However, you made a good attempt at representing the information in the visual diagram.;"" 63.35","However, you made a good attempt at representing the information in the visual diagram.;""",Sensemaking 1,63.35,13,1,14,99,79.51,72.58,98.65,14,35.71,78.57,64.29,50,7.14,7.14,0,0,7.14,0,0,0,21.43,21.43,0,14.29,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,21.43,0,21.43,7.14,7.14,0,0,0,7.14,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,14.29,0,0,7.14,7.14,0,0,0,7.14,0,0,0,0,0,0,0,28.57,7.14,7.14,0,0,0,14.29,0
25,Both product scoping and WBS have some room for improvements 80,Both product scoping and WBS have some room for improvements,Sensemaking 1,80,14,1,10,69.05,40.06,7.03,99,10,30,80,50,50,0,0,0,0,0,0,0,0,20,0,0,10,10,0,10,0,10,0,20,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cost report needs work as discussed in tutorial. ; 70,Cost report needs work as discussed in tutorial. ;,Sensemaking 1,70,15,1,8,98.55,40.06,1,20.23,8,25,100,62.5,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12.5,0,25,0,12.5,12.5,0,12.5,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,50,0,0,37.5,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0
27,You started off really strong with this workbook.,You started off really strong with this workbook.,Sensemaking 1,81,16,1,8,62.1,99,15.38,99,8,25,87.5,87.5,62.5,25,12.5,0,0,12.5,0,0,12.5,12.5,0,0,25,0,12.5,0,0,12.5,12.5,0,12.5,0,0,12.5,12.5,0,12.5,0,0,0,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0
28,Q1 and Q2 were great.,Q1 and Q2 were great.,Sensemaking 1,81,16,1,5,3.8,40.06,1,99,5,0,100,60,40,0,0,0,0,0,0,0,0,0,0,40,0,20,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0
29,You missed a big trick in combining labour into Q3 onwards which unfortunately cost you in terms of marks.,You missed a big trick in combining labour into Q3 onwards which unfortunately cost you in terms of marks.,Sensemaking 1,81,16,1,19,95.09,98.27,70.28,20.23,19,15.79,78.95,63.16,47.37,15.79,10.53,0,0,10.53,0,0,5.26,5.26,5.26,5.26,21.05,0,5.26,0,0,5.26,5.26,10.53,0,0,0,0,5.26,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.05,10.53,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,10.53,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,15.79,0,0,15.79,0,0,0,0,5.26,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0
30,You have thought well about the labour cost rates and the non labour costs.,You have thought well about the labour cost rates and the non labour costs.,Sensemaking 1,81,16,1,14,56.86,97.11,2.36,98.65,14,7.14,92.86,78.57,50,7.14,7.14,0,0,7.14,0,0,0,14.29,14.29,0,7.14,7.14,14.29,7.14,0,14.29,0,21.43,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,28.57,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0
31,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end. 81,Your report became very disjointed and hard to follow on the final few pages although I was able to find question 5 in the end.,Sensemaking 1,81,16,1,25,89.52,40.06,96.32,20.23,25,12,92,72,52,8,8,4,0,4,0,0,0,16,8,4,16,4,4,8,0,16,12,4,4,0,4,0,16,0,16,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4,0,0,4,8,8,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
32,You put in a really good effort for this workbook.,You put in a really good effort for this workbook.,Agency 2,49,17,1,10,89.52,99,63.35,99,10,10,90,70,60,20,10,0,0,10,0,0,10,20,10,0,20,0,10,0,0,10,0,0,10,0,10,0,10,0,10,0,0,0,0,10,0,0,10,10,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
33,The costs you used were well sourced and you applied them to your schedule well.,The costs you used were well sourced and you applied them to your schedule well.,Sensemaking 1,49,17,1,15,3.8,99,1.91,99,15,20,93.33,80,66.67,26.67,26.67,0,0,20,0,6.67,0,13.33,6.67,0,6.67,6.67,13.33,6.67,0,13.33,0,6.67,0,0,0,0,13.33,0,13.33,0,13.33,0,0,0,0,0,13.33,13.33,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,13.33,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,13.33,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0
34,You considered different cost types including the risk provisioning.,You considered different cost types including the risk provisioning.,Sensemaking 1,49,17,1,9,98.16,92.24,77.17,20.23,9,44.44,77.78,66.67,33.33,11.11,11.11,0,0,11.11,0,0,0,11.11,11.11,0,11.11,0,0,0,0,11.11,11.11,11.11,0,0,0,0,22.22,0,22.22,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
35,Unfortunately you did not answer two of the questions and were penalised heavily for that!,Unfortunately you did not answer two of the questions and were penalised heavily for that!,Sensemaking 2,49,17,1,15,10.19,40.06,63.35,20.23,15,26.67,93.33,80,80,13.33,6.67,0,0,6.67,0,0,6.67,20,6.67,6.67,13.33,13.33,13.33,6.67,6.67,13.33,0,6.67,0,0,0,0,20,0,20,13.33,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,6.67,0,13.33,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0
36,This work you have done here regarding the report format will serve you well for the final report. 49,This work you have done here regarding the report format will serve you well for the final report.,Impact 2,49,17,1,18,19.76,99,10.18,93.93,18,5.56,88.89,66.67,61.11,16.67,11.11,0,0,11.11,0,0,5.56,16.67,11.11,0,5.56,16.67,11.11,0,0,16.67,5.56,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,16.67,5.56,0,5.56,0,0,0,11.11,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,5.56,0,0,5.56,0,0,0,5.56,5.56,0,5.56,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0
