,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
86,"Has not shown any evidence of understanding the concepts of DevOps, Predictive project management and SDLC hybrid concepts.","Has not shown any evidence of understanding the concepts of DevOps, Predictive project management and SDLC hybrid concepts.",Sensemaking 1,38.25,36
87,"Turnitin Score (44% excluding the cover sheet) is too high and shows poor acdemic skill."" 38.25","Turnitin Score (44% excluding the cover sheet) is too high and shows poor acdemic skill."" ",Sensemaking 2,38.25,36
88,"""Overall, your PM knowledge application is inconsistent/poor across all knowledge areas.","""Overall, your PM knowledge application is inconsistent/poor across all knowledge areas.",Sensemaking 2,37.84,37
89,;Your critical skills need significant improvement,;Your critical skills need significant improvement,Sensemaking 1,37.84,37
90,This assignment is poor and not to masters level work.,This assignment is poor and not to masters level work.,Sensemaking 2,37.84,37
91,You have relied on using past semesters submissions as a guide without realising that the questions have changed.,You have relied on using past semesters submissions as a guide without realising that the questions have changed.,Sensemaking 2,37.84,37
92,You lost a possible 14 % by not answering the SOW section and providing an Exec Summary.,You lost a possible 14 % by not answering the SOW section and providing an Exec Summary.,Sensemaking 1,37.84,37
93,You have used last semesters Costing spreadsheet and failed to recognise ther question has changed.,You have used last semesters Costing spreadsheet and failed to recognise ther question has changed.,Sensemaking 1,37.84,37
94,Risk section is poor and lacks detail.,Risk section is poor and lacks detail.,Sensemaking 1,37.84,37
95,GAntt chart is incomplete.,GAntt chart is incomplete.,Sensemaking 1,37.84,37
96,"In general, this report lacks the level of definitiona nd description required from a masters students.","In general, this report lacks the level of definitiona nd description required from a masters students.",Sensemaking 2,37.84,37
97,There is very little description and nearly no anlaysis.,There is very little description and nearly no anlaysis.,Sensemaking 1,37.84,37
98,You are expected to take the information and discuss how the application of the techniques occurs.,You are expected to take the information and discuss how the application of the techniques occurs.,Impact 1,37.84,37
99,";Due to high Turnitin Score analysis, shows copying form sources and other students work. 15 % deduction applied."" 37.84",";Due to high Turnitin Score analysis, shows copying form sources and other students work. 15 % deduction applied."" ",Sensemaking 2,37.84,37
100,"""Turnitin similarity is high, Paraphrase your answers"" 65","""Turnitin similarity is high, Paraphrase your answers"" ",Sensemaking 2&Impact 2,65,38
101,Q 10 is poorly answered. Lacks understanding.,Q 10 is poorly answered. Lacks understanding.,Sensemaking 1,80,39
102,Otherwise generally good,Otherwise generally good,Agency 2,80,39
103,Moodle corrupted the word doc. 80,Moodle corrupted the word doc.,Sensemaking 2,80,40
104,"""See attached feedback.","""See attached feedback.",Agency 1,63,41
105,"Please note that all project teams were provided feedback from KV in consultations, and provided a copy of their feedback at that time. KV"" 63","Please note that all project teams were provided feedback from KV in consultations, and provided a copy of their feedback at that time. KV"" ",Agency 1,63,41
106,Feedback as provided in consultation.; 70,Feedback as provided in consultation.;,Agency 1,70,42
107,"""Good effort, Please refer to detailed feedback file attached.","""Good effort, Please refer to detailed feedback file attached.",Agency 2&Agency 1,70.06,43
108,"Best WishesNergiz."" 70.06","Best WishesNergiz."" ",Agency 3,70.06,43
109,"""as per the general video comments, particularly with regard to using provided papers and referencing. Needs more detail.","""as per the general video comments, particularly with regard to using provided papers and referencing. Needs more detail.",Sensemaking 1,50,44
110,"APA standards need to be applied in referencing"" 50","APA standards need to be applied in referencing"" ",Impact 1,50,44
111,"""overall, lacks depth and did not answer all questions fully.;"" 54.8","""overall, lacks depth and did not answer all questions fully.;"" ",Sensemaking 1&Sensemaking 2,54.8,45
112,""" You've received good marks for the content part of each question as you have demonstrated that you understand each concept and explained it well.",""" You've received good marks for the content part of each question as you have demonstrated that you understand each concept and explained it well.",Sensemaking 2,64.75,46
113,Include at least one citation for each question and make sure you both cite in-line and reference correctly;,Include at least one citation for each question and make sure you both cite in-line and reference correctly;,Impact 1,64.75,46
114,"Add figure/table numbers and describe each figure and table; and for maximum marks, You need to discuss (not just describe) elements about each question. "" 64.75","Add figure/table numbers and describe each figure and table; and for maximum marks, You need to discuss (not just describe) elements about each question. "" ",Impact 1&Impact 2,64.75,46
115,"""Team 1 decisions re marking were as follows, and is recorded in MS TEAMS:","""Team 1 decisions re marking were as follows, and is recorded in MS TEAMS:",Agency 1,54,47
116,i) to split the completion of Ass 2B report into individual parts [(this was agreed to by the tutor (KV) and Chief Examiner (CC)] - the parts/split is recorded in the Appendix of Team 1's submitted report;,i) to split the completion of Ass 2B report into individual parts [(this was agreed to by the tutor (KV) and Chief Examiner (CC)] - the parts/split is recorded in the Appendix of Team 1's submitted report;,Agency 1,54,47
117,ii) to be individually marked for these parts;,ii) to be individually marked for these parts;,Agency 1,54,47
118,"iii) it was also decided to share equally the marks for reference and language proficiency. KV"" 54","iii) it was also decided to share equally the marks for reference and language proficiency. KV"" ",Agency 1,54,47
119,"""Zhengyang, you write really well - see how you can improve on providing depth in writing by giving examples or use comparison techniques to show your own understanding.","""Zhengyang, you write really well - see how you can improve on providing depth in writing by giving examples or use comparison techniques to show your own understanding.",Sensemaking 1&Impact 3,70,48
120,"Good work.;"" 70","Good work.;"" ",Agency 2,70,48
121,"""Your schedule was reasonable, And I'm happy that you are demonstrated your ability to use Project.","""Your schedule was reasonable, And I'm happy that you are demonstrated your ability to use Project.",Sensemaking 1,56.39,49
122,Your resource allocation was underbaked.,Your resource allocation was underbaked.,Sensemaking 1,56.39,49
123,A lot more will become clear when you have experience using this tool for commercial projects.,A lot more will become clear when you have experience using this tool for commercial projects.,Impact 3,56.39,49
124,The rest of your sections were generally not too bad.,The rest of your sections were generally not too bad.,Sensemaking 1,56.39,49
125,You really need to tighten up your citations you are losing easy marks.,You really need to tighten up your citations you are losing easy marks.,Impact 1,56.39,49
126,Also I am still seeing no evidence of ciritcal analysis.,Also I am still seeing no evidence of ciritcal analysis.,Sensemaking 1,56.39,49
127,"Finally, just dumping your gannt chart with no explanation was not a good move."" 56.39","Finally, just dumping your gannt chart with no explanation was not a good move."" ",Sensemaking 1,56.39,49
128,Q 10 is poorly answered.Lacks understanding.,Q 10 is poorly answered.Lacks understanding.,Sensemaking 1,80,50
129,Otherwise generally good,Otherwise generally good,Agency 2,80,50
130,Moodle corrupted the word doc. Please use Pdfs 80,Moodle corrupted the word doc. Please use Pdfs,Sensemaking 2,80,51
131,As per attached. 60.4,As per attached.,Agency 1,60.4,52
132,"""good in general.","""good in general.",Agency 2,70,53
133,"risk register good, lacks detailed analysis and description"" 70","risk register good, lacks detailed analysis and description"" ",Sensemaking 1,70,53
134,"""See attached feedback.","""See attached feedback.",Agency 1,50,54
135,"Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" 50","Please note that all project teams were provided feedback from KV in consultations held in the week comm 19/4, and provided a summary version of their feedback at that time. KV"" ",Agency 1,50,54
136,Refer to attached. 51,Refer to attached.,Agency 1,51,55
137,Feedback as provided in consultation. 65,Feedback as provided in consultation.,Agency 1,65,56
138,good in general.,good in general.,Agency 2,75,57
139,Wbs needs work as discussed in tutorial.; 75,Wbs needs work as discussed in tutorial.;,Sensemaking 1,75,57
140,Feedback as provided in consultation.,Feedback as provided in consultation.,Agency 1,68,58
141,Predecessors are missing from the Gantt chart.; 68,Predecessors are missing from the Gantt chart.;,Sensemaking 1,68,58
142,"""Overall, your PM knowledge application is well balanced across all knowledge areas.","""Overall, your PM knowledge application is well balanced across all knowledge areas.",Sensemaking 2,61.94,59
143,;Your critical skills is at developing level;,;Your critical skills is at developing level;,Sensemaking 1,61.94,59
144,"Overall, reasonable.","Overall, reasonable.",Agency 2,61.94,59
145,Lost marks from being too brief in anlysis really.,Lost marks from being too brief in anlysis really.,Sensemaking 1,61.94,59
146,"In essence the report contsined most infromation, however the analysis of application needed further depth."" 61.94","In essence the report contsined most infromation, however the analysis of application needed further depth."" ",Sensemaking 2&Sensemaking 1,61.94,59
147,Both product scope and WBS has room for improvement 75,Both product scope and WBS has room for improvement,Sensemaking 1,75,60
148,"""Jiayu, a good attempt, you would need to show more depth and see how you can identify key and relevant concepts in this area.;"" 64.1","""Jiayu, a good attempt, you would need to show more depth and see how you can identify key and relevant concepts in this area.;"" ",Agency 2&Impact 1,64.1,61
149,late submission.,late submission.,Sensemaking 2,0,62
150,Make sure to submit before deadline.,Make sure to submit before deadline.,Impact 2,0,62
151,Good luck. 0,Good luck.,Agency 3,0,62
152,"""Hi Sifan,We definitely will consider the contribution from each team member, and influenced their individual mark.","""Hi Sifan,We definitely will consider the contribution from each team member, and influenced their individual mark.",Agency 1,65,63
153,"Also please let all team members noticed that this is teamwork, if one person is not responsible for the team project, and your team project can not deliver as an """"expected project"""",; the team mark will be influenced as well.","Also please let all team members noticed that this is teamwork, if one person is not responsible for the team project, and your team project can not deliver as an """"expected project"""",; the team mark will be influenced as well.",Impact 2,65,63
154,";You have done a good job, please keep up the good work.",";You have done a good job, please keep up the good work.",Agency 2,65,63
155,"Cheers,Lee"" 65","Cheers,Lee"" ",Agency 3,65,63
156,Late entry 0,Late entry,Sensemaking 2,65,64
157,Thanks for sharing.,Thanks for sharing.,Agency 3,65,64
158,It's amazing to hear to your experience and journey with this unit.,It's amazing to hear to your experience and journey with this unit.,Agency 3,65,64
159,All the best for your future endeavours.,All the best for your future endeavours.,Agency 3,65,64
160,Keep in touch. :) 65,Keep in touch. :),Agency 3,65,64
161,No Submission 0,No Submission,Sensemaking 2,65,65
162,Thanks for the diary.-VT 65,Thanks for the diary.-VT,Agency 3,65,65
163,Good luck and best wishes for the future it has been a pleasure working with you.P.B. 70,Good luck and best wishes for the future it has been a pleasure working with you.P.B.,Agency 3,70,66
164,"""You have written more in line with FIT5122, there is less reflection more of a summary of things that you did.;"" 55","""You have written more in line with FIT5122, there is less reflection more of a summary of things that you did.;"" ",Sensemaking 2,55,67
165,Late Submission. 0,Late Submission.,Sensemaking 2,55,68
166,thanks for your diary.,thanks for your diary.,Agency 3,55,68
167,Elaborate your reflection a little.,Elaborate your reflection a little.,Sensemaking 2,55,68
168,Just work on the sentence structure a little.-VT 55,Just work on the sentence structure a little.-VT,Sensemaking 1,55,68
169,Good job Xiaoming .,Good job Xiaoming .,Agency 2,70,69
170,Keep it up.,Keep it up.,Agency 2,70,69
171,All the best! 70,All the best!,Agency 3,70,69
172,How how do you plan on overcoming these communication/time differences.,How how do you plan on overcoming these communication/time differences.,Impact 1,60,70
173,How do you feel about it? Satisfied/not satisfied.,How do you feel about it? Satisfied/not satisfied.,Impact 1,60,70
174,Dig deep into your emotions.,Dig deep into your emotions.,Impact 1,60,70
175,You can also reflect on what have you learnt in your studios/lecture.,You can also reflect on what have you learnt in your studios/lecture.,Impact 1,60,70
176,How has it helped you?,How has it helped you?,Impact 1,60,70
177,Good overall.; 60,Good overall.;,Agency 2,60,70
178,"""There was lot of re-iteration notice in your reflection.","""There was lot of re-iteration notice in your reflection.",Sensemaking 1,50,71
179,"Instead try to reflect more on your learnings from these activities, team dynamics, your action plan etc.;"" 50","Instead try to reflect more on your learnings from these activities, team dynamics, your action plan etc.;"" ",Impact 1,50,71
180,"""Hi Ajay,Your diary is a little bit descriptive,;","""Hi Ajay,Your diary is a little bit descriptive,;",Sensemaking 1,70,72
181,";try to use a few sentences to describe a few important incidents and then focus on;what did you;feel, why did you have that feeling and what needs to improve to help your team.",";try to use a few sentences to describe a few important incidents and then focus on;what did you;feel, why did you have that feeling and what needs to improve to help your team.",Impact 1,70,72
182,"Besides, try to reflect deeply on how these learnings can help your team and your project.","Besides, try to reflect deeply on how these learnings can help your team and your project.",Impact 1,70,72
183,"For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" 70","For the action plan, you need to have some strategies to overcome some incidents which happened before, for example, if a similar issue occurs in the future, what actions will you take or what can you do to avoid this happen again."" ",Impact 1,70,72
184,"""thanks for your diary.","""thanks for your diary.",Agency 3,70,73
185,Your reflection is good maybe you can elaborate a little on some parts.,Your reflection is good maybe you can elaborate a little on some parts.,Sensemaking 2,70,73
186,"Also, there has been some improvement in your action plan as well.","Also, there has been some improvement in your action plan as well.",Sensemaking 1,70,73
187,"Just work on the sentence structure a little.-VT"" 70","Just work on the sentence structure a little.-VT"" ",Impact 1,70,73
188,Thanks for the diary.-VT 65,Thanks for the diary.-VT,Agency 3,65,74
189,"""Hey Wenyuan,;I would be happy to give you some feedback regarding your diaries.","""Hey Wenyuan,;I would be happy to give you some feedback regarding your diaries.",Agency 3,65,75
190,"I feel that your diaries mostly comprise of you stating what has happened in class or the team, but doesn't contain much """"reflection"""" on those aspects.","I feel that your diaries mostly comprise of you stating what has happened in class or the team, but doesn't contain much """"reflection"""" on those aspects.",Sensemaking 2,65,75
191,"For instance, you faced technical issues which took a long time to fix, thus hindering your progress - how did you feel about that? Did you feel angry? Worried?","For instance, you faced technical issues which took a long time to fix, thus hindering your progress - how did you feel about that? Did you feel angry? Worried?",Impact 1,65,75
192,Why did you and the team face tech issues in the first place? What went wrong? Could it have been avoided?,Why did you and the team face tech issues in the first place? What went wrong? Could it have been avoided?,Impact 1,65,75
193,How did your team members react to this? How did their reactions make you feel?,How did your team members react to this? How did their reactions make you feel?,Impact 1,65,75
194,What did you discover about yourself and your skills from this experience?,What did you discover about yourself and your skills from this experience?,Impact 1,65,75
195,These are the type of questions you should be asking yourself while reflecting.,These are the type of questions you should be asking yourself while reflecting.,Impact 1,65,75
196,You need to dig deeper to come up with a proper reflection.,You need to dig deeper to come up with a proper reflection.,Impact 2,65,75
197,"I would recommend googling """"Gibbs cycle of reflection"""" and try to apply that to your diaries. "" 65","I would recommend googling """"Gibbs cycle of reflection"""" and try to apply that to your diaries. "" ",Agency 1&Impact 1,65,75
198,"""Hi,Great job on submitting your first reflective diary for the semester.","""Hi,Great job on submitting your first reflective diary for the semester.",Agency 2,45,76
199,Good start.,Good start.,Sensemaking 1,45,76
200,Kindly refer to the Moodle specifications and examples to improve your reflection.,Kindly refer to the Moodle specifications and examples to improve your reflection.,Agency 1,45,76
201,"You will get better with time, don't worry.","You will get better with time, don't worry.",Agency 3,45,76
202,It would have been interesting to know HOW you applied the learning from the first studio in the second studio of the week and WHAT was the difference in how the new team mates responded.,It would have been interesting to know HOW you applied the learning from the first studio in the second studio of the week and WHAT was the difference in how the new team mates responded.,Sensemaking 1,45,76
203,"Could you feel the positive impact with this approach?Try and reflect upon on a previous situation, if any, where you have experienced a similar problem and how you went about it.","Could you feel the positive impact with this approach?Try and reflect upon on a previous situation, if any, where you have experienced a similar problem and how you went about it.",Impact 1,45,76
204,"You have mentioned the action plan, but would have been better to also include some deeper reflection on what your personal involvement was in the situation and the measurable impact in doing so.","You have mentioned the action plan, but would have been better to also include some deeper reflection on what your personal involvement was in the situation and the measurable impact in doing so.",Sensemaking 1,45,76
205,"Hope this helps."" 45","Hope this helps."" ",Agency 3,45,76
206,I hope you get well soon.,I hope you get well soon.,Agency 3,65,77
207,Take care of yourself and your health first. 65,Take care of yourself and your health first.,Agency 3,65,77
208,"""Hi Leo,Proud of you.","""Hi Leo,Proud of you.",Agency 3,100,78
