"    Very less  discussion of requirement analysis. Seemed like you were reading from the  slides.Some information about the selected models had to be provided. No  recommendations are made. Also, the backbone cable capacity can not be less  than the WAN cable capacity. ",71.0
Overall Good work. A high-level conceptual diagram needs improvement. WAN design missing.,87.5
"     Structure      1.A conceptual  high-level diagram is needed to show a typical floor plan, backbone network  (connecting the;floors)  and a wide area network to connect to the main office.  2.  I would suggest to present in the following manners:  First,  A high-level diagram  Second,  A floor plan   Third,  Backbone network (floor; to floor  connection),   Finally,  A wide area network to connect to the main office        Presentation  Style      1.  Good use of figure and visualization  2.  Add slide number in every slide        Technicality  in general      1.  Switches, Routers, and location of APs are determined  2.  You have covered all necessary technical requirements as per the assignment  specifications.  ;   ",100.0
Recommendations have not provided.,87.5
"Cost estimation as well as references are required. Structure seems good.More accurate computation for number and location of access points.More accurate traffic analysis and reasoning (e.g. why do we need 10 Gbps switches for each floor, why do we need 2 48-port switches per floor when we have only 50 users per floor).",100.0
"     Structure      1.A conceptual  high-level diagram is needed to show a typical floor plan, backbone network  (connecting the;floors)  and a wide area network to connect to the main office.  2.  I would suggest to present in the following manners:  First,  A high-level diagram  Second,  A floor plan   Third,  Backbone network (floor; to floor  connection),   Finally,  A wide area network to connect to the main office        Presentation  Style      1.  Good use of figure and visualization  2.  Add slide number in every slide  3.  Some slides are wordy. You can use tables.  4. Remember you  have only twelve- to fifteen minutes;to  present all slides  ;        Technicality  in general      1.  Switches, Routers, and location of APs are determined  2.  You have covered all necessary technical requirements as per the assignment  specifications.  ;   ",100.0
    The cable  type discussed for WAN connectivity towards the end of presentation is  incorrect and does not suit the specifications. No recommendations are made.  In video presentation some basic traffic analysis should have been discussed. ,82.5
Presentation progressed without showing the contents in the slide.,62.5
"Overall, the submission has room for improvement. Presentation should start from the background / project  requirement. Some graphics contain good details, but could be better explained. Good research on the specific models, but more details on your assumptions and design rationale is also needed.",50.0
DNA,0.0
Technical content. Justify backbone connection diagram. How the number of users are supported? Structure. Contents of high-level diagram and typical floor plan are too small to follow. Not sure which access point and switch are used in typical floor plan and how many users it can support?,50.0
"10% Late submission penalty applied.Excellent work. First show conceptual high-level diagram, then floor plan, then backbone connection, and then WAN design.;Better to include and justify cable type, specifications, and capacity used for connections. Also, include the final conclusion and appendix.",90.0
"A presentation outline is expected at the beginning. Diagrams are not neat and readable. Hand-drawn diagrams are only acceptable if they are neat and easily readable. Cost estimation is nicely put, but AP costs are not in there.",100.0
Choice of devices based on your traffic analysis could have been discussed.,75.0
"Great job, keep up the good work! Task A For CL-> SSH: Could use the path with 1Gbps. For Routing rationale: Could also consider the threshold of data to be transmitted where 1Gbps begins to take less time than 100Mbps . Task C All good",95.0
"All the tasks for routing, DHCP, firewall - all failed. There were no default routes, and all the nodes were unreachable. DHCP config wrong. Firewall – Policy okay, but no valid rules.[Rechecked By Safi]No config for routing is done. Some rules for firewall config is done and marks are awarded for that.",10.0
"Lan design could have been improved. Traffic analysis could be used to conclude with choice of your devices. WLAN design could have been improved, channels discussion…",81.25
Not enough justifications were given behind theselection of devices.Traffic analysis should have been done.No substantialrecommendations were made.,75.0
Presentation title? Presenter's name? Content outline? There is no Work-station or switch in floor-plan! No. of equipment? Specification? Cost? NO. of equipment?,50.0
"Good work. A conceptual high-level diagram is needed to show a typical floor plan, backbone network (connecting the floors), and a wide area network to connect to the main office.;Better to include and justify details about cables used for connection in the Choice of Product section. Include a final conclusion.",75.0
"The ideas could have conveyed in a better way.Traffic analysis, channel selection and location analysis for witrless Aps is missing.",75.0
